name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Emilio Volpicelli,https://www.transfermarkt.com/emilio-volpicelli/profil/spieler/163985,Right Winger,31,Italy,,,29,4,1,5,€300k
Artem Kulishev,https://www.transfermarkt.com/artem-kulishev/profil/spieler/256380,Right Winger,30,Russia,,,35,4,1,5,€200k
Pablo Sarabia,https://www.transfermarkt.com/pablo-sarabia/profil/spieler/74230,Right Winger,32,Spain,,,28,3,2,5,€5.00m
Geoffry Hairemans,https://www.transfermarkt.com/geoffry-hairemans/profil/spieler/110292,Right Winger,32,Belgium,,,25,3,2,5,€500k
Volodymyr Odaryuk,https://www.transfermarkt.com/volodymyr-odaryuk/profil/spieler/395069,Right Winger,30,Ukraine,,,24,3,2,5,€300k
Zé Manuel,https://www.transfermarkt.com/ze-manuel/profil/spieler/113025,Right Winger,33,Portugal,,,31,3,2,5,€50k
Bobby De Cordova-Reid,https://www.transfermarkt.com/bobby-de-cordova-reid/profil/spieler/186186,Right Winger,31,"Jamaica, England",,,27,2,3,5,€2.50m
Ager Aketxe,https://www.transfermarkt.com/ager-aketxe/profil/spieler/158057,Right Winger,30,Spain,,,36,2,3,5,€800k
Juanma García,https://www.transfermarkt.com/juanma-garcia/profil/spieler/315312,Right Winger,31,Spain,,,40,2,3,5,€600k
Josué Dorrio,https://www.transfermarkt.com/josue-dorrio/profil/spieler/483453,Right Winger,30,Spain,,,42,2,3,5,€500k
Denis Zamyatin,https://www.transfermarkt.com/denis-zamyatin/profil/spieler/401748,Right Winger,36,Russia,,,31,2,3,5,€50k
Aleksey Ionov,https://www.transfermarkt.com/aleksey-ionov/profil/spieler/55356,Right Winger,35,Russia,,,20,2,3,5,-
Ivan Schranz,https://www.transfermarkt.com/ivan-schranz/profil/spieler/108416,Right Winger,30,Slovakia,,,20,1,4,5,€1.50m
Gerard Valentín,https://www.transfermarkt.com/gerard-valentin/profil/spieler/278651,Right Winger,30,Spain,,,39,1,4,5,€800k
Luciano Slagveer,https://www.transfermarkt.com/luciano-slagveer/profil/spieler/187298,Right Winger,30,"Suriname, Netherlands",,,13,0,5,5,€250k
Giannis Gianniotas,https://www.transfermarkt.com/giannis-gianniotas/profil/spieler/136643,Right Winger,31,Greece,,,21,4,0,4,€250k
Grégory Perseo,https://www.transfermarkt.com/gregory-perseo/profil/spieler/650381,Right Winger,30,Belgium,,,24,4,0,4,-
Emrah Başsan,https://www.transfermarkt.com/emrah-bassan/profil/spieler/177031,Right Winger,32,Türkiye,,,21,3,1,4,€275k
Mirko Carretta,https://www.transfermarkt.com/mirko-carretta/profil/spieler/82648,Right Winger,33,Italy,,,29,3,1,4,€175k
Jan Vosahlik,https://www.transfermarkt.com/jan-vosahlik/profil/spieler/62803,Right Winger,35,Czech Republic,,,26,3,1,4,-
Arnoud Bentum,https://www.transfermarkt.com/arnoud-bentum/profil/spieler/532271,Right Winger,30,Netherlands,,,26,3,1,4,-
Kingsley Schindler,https://www.transfermarkt.com/kingsley-schindler/profil/spieler/153678,Right Winger,30,"Ghana, Germany",,,37,2,2,4,€900k
Iván Sánchez,https://www.transfermarkt.com/ivan-sanchez/profil/spieler/221311,Right Winger,31,Spain,,,35,2,2,4,€600k
Andros Townsend,https://www.transfermarkt.com/andros-townsend/profil/spieler/61842,Right Winger,32,England,,,24,2,2,4,€550k
Matt Phillips,https://www.transfermarkt.com/matt-phillips/profil/spieler/77274,Right Winger,33,"Scotland, England",,,30,2,2,4,€200k
Thierry Moutinho,https://www.transfermarkt.com/thierry-moutinho/profil/spieler/64804,Right Winger,33,"Portugal, Switzerland",,,13,2,2,4,€100k
Leandro Kappel,https://www.transfermarkt.com/leandro-kappel/profil/spieler/113052,Right Winger,34,"Suriname, Netherlands",,,26,2,2,4,€50k
Ramazan Çevik,https://www.transfermarkt.com/ramazan-cevik/profil/spieler/126888,Right Winger,32,"Belgium, Türkiye",,,27,2,2,4,€50k
Lazaros Christodoulopoulos,https://www.transfermarkt.com/lazaros-christodoulopoulos/profil/spieler/34283,Right Winger,37,Greece,,,14,2,2,4,-
Edson Farias,https://www.transfermarkt.com/edson-farias/profil/spieler/240773,Right Winger,32,Brazil,,,18,2,2,4,-
Dieumerci Ndongala,https://www.transfermarkt.com/dieumerci-ndongala/profil/spieler/103284,Right Winger,33,"DR Congo, Belgium",,,19,1,3,4,€125k
Milos Deletic,https://www.transfermarkt.com/milos-deletic/profil/spieler/203608,Right Winger,30,Serbia,,,26,0,4,4,€500k
Wellington Carvalho,https://www.transfermarkt.com/wellington-carvalho/profil/spieler/376306,Right Winger,31,Brazil,,,23,3,0,3,€75k
Zahit Fındık,https://www.transfermarkt.com/zahit-findik/profil/spieler/157249,Right Winger,32,"Türkiye, Germany",,,16,3,0,3,€50k
Sefa Yılmaz,https://www.transfermarkt.com/sefa-yilmaz/profil/spieler/56518,Right Winger,34,"Türkiye, Germany",,,21,3,0,3,€25k
Junior Messias,https://www.transfermarkt.com/junior-messias/profil/spieler/449151,Right Winger,33,"Brazil, Italy",,,18,2,1,3,€1.50m
Adrián Embarba,https://www.transfermarkt.com/adrian-embarba/profil/spieler/288318,Right Winger,32,Spain,,,39,2,1,3,€1.20m
Aleksey Sutormin,https://www.transfermarkt.com/aleksey-sutormin/profil/spieler/217033,Right Winger,30,Russia,,,33,2,1,3,€1.00m
Zinedine Ferhat,https://www.transfermarkt.com/zinedine-ferhat/profil/spieler/232895,Right Winger,31,Algeria,,,28,2,1,3,€1.00m
Christian Gebauer,https://www.transfermarkt.com/christian-gebauer/profil/spieler/275423,Right Winger,30,Austria,,,22,2,1,3,€200k
Ilya Kukharchuk,https://www.transfermarkt.com/ilya-kukharchuk/profil/spieler/104700,Right Winger,33,Russia,,,21,2,1,3,€125k
Portu,https://www.transfermarkt.com/portu/profil/spieler/99353,Right Winger,32,Spain,,,28,1,2,3,€1.80m
Hélder Costa,https://www.transfermarkt.com/helder-costa/profil/spieler/173900,Right Winger,30,"Angola, Portugal",,,13,1,2,3,€400k
Maximiliano Comba,https://www.transfermarkt.com/maximiliano-comba/profil/spieler/615182,Right Winger,30,Argentina,,,27,1,2,3,€300k
Abdoulay Diaby,https://www.transfermarkt.com/abdoulay-diaby/profil/spieler/148396,Right Winger,33,"Mali, France",,,12,1,2,3,€200k
Salvador Agra,https://www.transfermarkt.com/salvador-agra/profil/spieler/155395,Right Winger,32,Portugal,,,33,1,2,3,€200k
Cosimo Chiricò,https://www.transfermarkt.com/cosimo-chirico/profil/spieler/165852,Right Winger,32,Italy,,,10,1,2,3,€200k
Nordin Amrabat,https://www.transfermarkt.com/nordin-amrabat/profil/spieler/55619,Right Winger,37,"Morocco, Netherlands",,,16,1,2,3,€150k
Antonio Domínguez,https://www.transfermarkt.com/antonio-dominguez/profil/spieler/288453,Right Winger,31,Spain,,,31,1,2,3,€150k
Vitaliy Gemega,https://www.transfermarkt.com/vitaliy-gemega/profil/spieler/177280,Right Winger,30,Ukraine,,,22,1,2,3,€50k
Lamine Djaballah,https://www.transfermarkt.com/lamine-djaballah/profil/spieler/98278,Right Winger,41,"France, Algeria",,,15,1,2,3,€25k
Eri,https://www.transfermarkt.com/eritm/profil/spieler/290269,Right Winger,30,"Portugal, Angola",,,15,1,2,3,-
Abdoul Kader Bamba,https://www.transfermarkt.com/abdoul-kader-bamba/profil/spieler/560725,Right Winger,30,"France, Senegal",,,8,0,3,3,€800k
Dennis Chessa,https://www.transfermarkt.com/dennis-chessa/profil/spieler/76630,Right Winger,31,Germany,,,25,0,3,3,€275k
Jorge Díaz,https://www.transfermarkt.com/jorge-diaz/profil/spieler/240026,Right Winger,35,"Uruguay, Spain",,,19,0,3,3,€75k
Nacho Sánchez,https://www.transfermarkt.com/nacho-sanchez/profil/spieler/391047,Right Winger,31,Spain,,,31,2,0,2,€200k
Albion Vrenezi,https://www.transfermarkt.com/albion-vrenezi/profil/spieler/274355,Right Winger,30,Kosovo,,,23,2,0,2,€175k
David Soto,https://www.transfermarkt.com/david-soto/profil/spieler/286266,Right Winger,31,Spain,,,29,2,0,2,€150k
Darren Maatsen,https://www.transfermarkt.com/darren-maatsen/profil/spieler/190874,Right Winger,33,"Netherlands, Suriname",,,9,2,0,2,-
Uilton,https://www.transfermarkt.com/uilton/profil/spieler/594546,Right Winger,31,Brazil,,,19,2,0,2,-
Jed Wallace,https://www.transfermarkt.com/jed-wallace/profil/spieler/198358,Right Winger,30,England,,,30,1,1,2,€1.80m
Francisco Portillo,https://www.transfermarkt.com/francisco-portillo/profil/spieler/138803,Right Winger,34,Spain,,,22,1,1,2,€300k
Luigi Canotto,https://www.transfermarkt.com/luigi-canotto/profil/spieler/188436,Right Winger,30,Italy,,,9,1,1,2,€300k
Mukhammad Sultonov,https://www.transfermarkt.com/mukhammad-sultonov/profil/spieler/144559,Right Winger,31,"Russia, Tajikistan",,,28,1,1,2,€275k
Stephano Almeida,https://www.transfermarkt.com/stephano-almeida/profil/spieler/606726,Right Winger,30,Brazil,,,14,1,1,2,€200k
Suso,https://www.transfermarkt.com/suso/profil/spieler/111961,Right Winger,30,Spain,,,17,0,2,2,€1.50m
Manuel Marras,https://www.transfermarkt.com/manuel-marras/profil/spieler/198128,Right Winger,30,Italy,,,28,0,2,2,€300k
Andreas Vasilogiannis,https://www.transfermarkt.com/andreas-vasilogiannis/profil/spieler/63491,Right Winger,33,Greece,,,11,0,2,2,€125k
Nikita Burmistrov,https://www.transfermarkt.com/nikita-burmistrov/profil/spieler/49676,Right Winger,34,Russia,,,10,0,2,2,-
Jóhann Berg Gudmundsson,https://www.transfermarkt.com/johann-berg-gudmundsson/profil/spieler/89231,Right Winger,33,Iceland,,,1,1,0,1,€600k
Victor Moses,https://www.transfermarkt.com/victor-moses/profil/spieler/59866,Right Winger,33,"Nigeria, England",,,18,1,0,1,€500k
Jakub Pesek,https://www.transfermarkt.com/jakub-pesek/profil/spieler/346840,Right Winger,31,Czech Republic,,,7,1,0,1,€250k
Cristian Herrera,https://www.transfermarkt.com/cristian-herrera/profil/spieler/162044,Right Winger,30,Spain,,,26,1,0,1,€150k
Callum McManaman,https://www.transfermarkt.com/callum-mcmanaman/profil/spieler/61711,Right Winger,33,"England, Ireland",,,28,1,0,1,€75k
Melik Derin,https://www.transfermarkt.com/melik-derin/profil/spieler/246217,Right Winger,31,Türkiye,,,29,1,0,1,€50k
Alessandro Cordaro,https://www.transfermarkt.com/alessandro-cordaro/profil/spieler/12908,Right Winger,38,"Belgium, Italy",,,6,1,0,1,-
Kenan Özer,https://www.transfermarkt.com/kenan-ozer/profil/spieler/38195,Right Winger,36,"Türkiye, Cyprus",,,8,1,0,1,-
Steve Bael,https://www.transfermarkt.com/steve-bael/profil/spieler/224442,Right Winger,30,Belgium,,,4,1,0,1,-
Harramiz,https://www.transfermarkt.com/harramiz/profil/spieler/280410,Right Winger,33,"Sao Tome and Principe, Portugal",,,5,1,0,1,-
Stallone Limbombe,https://www.transfermarkt.com/stallone-limbombe/profil/spieler/292615,Right Winger,33,"Belgium, DR Congo",,,8,1,0,1,-
Hakim Ziyech,https://www.transfermarkt.com/hakim-ziyech/profil/spieler/217111,Right Winger,31,"Morocco, Netherlands",,,6,0,1,1,€4.50m
Nathan Redmond,https://www.transfermarkt.com/nathan-redmond/profil/spieler/129078,Right Winger,30,"England, Jamaica",,,3,0,1,1,€1.50m
Marco D'Alessandro,https://www.transfermarkt.com/marco-dalessandro/profil/spieler/99232,Right Winger,33,Italy,,,15,0,1,1,€200k
Igor Medynskyi,https://www.transfermarkt.com/igor-medynskyi/profil/spieler/168830,Right Winger,31,Ukraine,,,16,0,1,1,€200k
Rodrigo Sanz,https://www.transfermarkt.com/rodrigo-sanz/profil/spieler/229606,Right Winger,31,Spain,,,8,0,1,1,€100k
Muhammed Ertürk,https://www.transfermarkt.com/muhammed-erturk/profil/spieler/203711,Right Winger,30,Türkiye,,,29,0,1,1,€75k
Sinan Gümüş,https://www.transfermarkt.com/sinan-gumus/profil/spieler/196524,Right Winger,30,"Türkiye, Germany",,,4,0,1,1,€50k
Süleyman Koç,https://www.transfermarkt.com/suleyman-koc/profil/spieler/64791,Right Winger,35,"Türkiye, Germany",,,15,0,1,1,€25k
Berat Satılmış,https://www.transfermarkt.com/berat-satilmis/profil/spieler/292528,Right Winger,31,Türkiye,,,27,0,1,1,€25k
Giannis Fetfatzidis,https://www.transfermarkt.com/giannis-fetfatzidis/profil/spieler/128931,Right Winger,33,Greece,,,20,0,1,1,-
Bradley Barcola,https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265,Left Winger,21,"France, Togo",,,41,18,15,33,€70.00m
Patrick Brouwer,https://www.transfermarkt.com/patrick-brouwer/profil/spieler/593824,Left Winger,23,Netherlands,,,36,17,9,26,-
Vinicius Junior,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,Left Winger,23,"Brazil, Spain",,,38,12,13,25,€170.00m
Bénie Traoré,https://www.transfermarkt.com/benie-traore/profil/spieler/852024,Left Winger,21,Cote d'Ivoire,,,41,14,10,24,€10.00m
Borja Sainz,https://www.transfermarkt.com/borja-sainz/profil/spieler/634461,Left Winger,23,Spain,,,43,19,4,23,€14.00m
Pablo Santiago,https://www.transfermarkt.com/pablo-santiago/profil/spieler/634110,Left Winger,23,Spain,,,38,13,10,23,€400k
Julian Hettwer,https://www.transfermarkt.com/julian-hettwer/profil/spieler/675509,Left Winger,21,Germany,,,26,14,8,22,€1.30m
Dorgeles Nene,https://www.transfermarkt.com/dorgeles-nene/profil/spieler/671591,Left Winger,21,Mali,,,34,13,9,22,€12.00m
Ilias Kariouh,https://www.transfermarkt.com/ilias-kariouh/profil/spieler/1018994,Left Winger,23,Netherlands,,,38,10,12,22,-
Thierno Ballo,https://www.transfermarkt.com/thierno-ballo/profil/spieler/406608,Left Winger,22,Austria,,,37,13,8,21,€5.00m
Malik Mothersille,https://www.transfermarkt.com/malik-mothersille/profil/spieler/790995,Left Winger,20,"Jamaica, England",,,49,12,9,21,€400k
Yeremay Hernández,https://www.transfermarkt.com/yeremay-hernandez/profil/spieler/636385,Left Winger,21,Spain,,,39,15,5,20,€15.00m
Giovanni Bruzzaniti,https://www.transfermarkt.com/giovanni-bruzzaniti/profil/spieler/420460,Left Winger,23,Italy,,,36,15,5,20,€600k
Emmanuel Poku,https://www.transfermarkt.com/emmanuel-poku/profil/spieler/1021391,Left Winger,18,Netherlands,,,30,15,5,20,-
Tibor Jager,https://www.transfermarkt.com/tibor-jager/profil/spieler/1042216,Left Winger,20,Czech Republic,,,34,15,5,20,-
Nick Berger,https://www.transfermarkt.com/nick-berger/profil/spieler/608192,Left Winger,22,Switzerland,,,32,14,6,20,€100k
Christos Tzolis,https://www.transfermarkt.com/christos-tzolis/profil/spieler/451677,Left Winger,22,Greece,,,34,12,8,20,€25.00m
Roméo Beney,https://www.transfermarkt.com/romeo-beney/profil/spieler/700479,Left Winger,19,"Switzerland, Brazil",,,33,10,10,20,€500k
Freddy Mbemba,https://www.transfermarkt.com/freddy-mbemba/profil/spieler/983364,Left Winger,21,"France, DR Congo",,,34,12,7,19,€800k
Sergey Pinyaev,https://www.transfermarkt.com/sergey-pinyaev/profil/spieler/516751,Left Winger,19,Russia,,,38,11,8,19,€8.00m
Gaoussou Diarra,https://www.transfermarkt.com/gaoussou-diarra/profil/spieler/1233996,Left Winger,21,Mali,,,36,16,2,18,€2.40m
Louie Barry,https://www.transfermarkt.com/louie-barry/profil/spieler/581670,Left Winger,21,"England, Ireland",,,27,15,3,18,€2.00m
Ro-Zangelo Daal,https://www.transfermarkt.com/ro-zangelo-daal/profil/spieler/800995,Left Winger,20,Netherlands,,,34,15,3,18,€750k
Said El Mala,https://www.transfermarkt.com/said-el-mala/profil/spieler/1168219,Left Winger,17,Germany,,,32,13,5,18,€3.00m
Kelian Nsona,https://www.transfermarkt.com/kelian-nsona/profil/spieler/569368,Left Winger,22,"France, DR Congo",,,39,13,5,18,€750k
Víctor Muñoz,https://www.transfermarkt.com/victor-munoz/profil/spieler/935231,Left Winger,20,Spain,,,36,11,7,18,€1.00m
Ramiz Harakaté,https://www.transfermarkt.com/ramiz-harakate/profil/spieler/925418,Left Winger,21,France,,,30,7,11,18,€450k
Jacob Ondrejka,https://www.transfermarkt.com/jacob-ondrejka/profil/spieler/663237,Left Winger,21,Sweden,,,38,12,5,17,€8.00m
Thiago Nuss,https://www.transfermarkt.com/thiago-nuss/profil/spieler/840101,Left Winger,23,Argentina,,,29,11,6,17,€900k
Luuk Breedijk,https://www.transfermarkt.com/luuk-breedijk/profil/spieler/678847,Left Winger,20,"Switzerland, Netherlands",,,30,10,7,17,€200k
Zuriko Davitashvili,https://www.transfermarkt.com/zuriko-davitashvili/profil/spieler/427572,Left Winger,23,Georgia,,,34,9,8,17,€10.00m
Afolabi Soliu,https://www.transfermarkt.com/afolabi-soliu/profil/spieler/1200278,Left Winger,18,Nigeria,,,32,9,8,17,€250k
Álex Baena,https://www.transfermarkt.com/alex-baena/profil/spieler/548111,Left Winger,22,Spain,,,33,7,10,17,€55.00m
Alejandro Garnacho,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779,Left Winger,20,"Argentina, Spain",,,43,10,6,16,€45.00m
Khvicha Kvaratskhelia,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670,Left Winger,23,Georgia,,,35,9,7,16,€90.00m
Anthony Gordon,https://www.transfermarkt.com/anthony-gordon/profil/spieler/503733,Left Winger,23,England,,,42,9,7,16,€65.00m
Derry Scherhant,https://www.transfermarkt.com/derry-scherhant/profil/spieler/820957,Left Winger,21,Germany,,,37,9,7,16,€4.00m
Aness Serghini,https://www.transfermarkt.com/aness-serghini/profil/spieler/593816,Left Winger,22,"Netherlands, Morocco",,,19,9,7,16,-
Mert Can Ünal,https://www.transfermarkt.com/mert-can-unal/profil/spieler/908902,Left Winger,19,Austria,,,28,15,0,15,-
Kevin Schade,https://www.transfermarkt.com/kevin-schade/profil/spieler/473050,Left Winger,22,"Germany, Nigeria",,,43,12,3,15,€30.00m
Keito Nakamura,https://www.transfermarkt.com/keito-nakamura/profil/spieler/405397,Left Winger,23,Japan,,,38,12,3,15,€8.00m
Félix Correia,https://www.transfermarkt.com/felix-correia/profil/spieler/479648,Left Winger,23,"Portugal, Sao Tome and Principe",,,37,10,5,15,€4.00m
Danyil Dolechek,https://www.transfermarkt.com/danyil-dolechek/profil/spieler/673444,Left Winger,21,"Ukraine, Czech Republic",,,26,10,5,15,€150k
Ivan Bendera,https://www.transfermarkt.com/ivan-bendera/profil/spieler/775723,Left Winger,21,Ukraine,,,23,8,7,15,€350k
Oğuz Aydın,https://www.transfermarkt.com/oguz-aydin/profil/spieler/563749,Left Winger,23,Türkiye,,,28,7,8,15,€11.00m
Abraham Odoh,https://www.transfermarkt.com/abraham-odoh/profil/spieler/734937,Left Winger,23,England,,,42,7,8,15,€325k
Tadeas Pospisil,https://www.transfermarkt.com/tadeas-pospisil/profil/spieler/705466,Left Winger,22,Czech Republic,,,33,4,11,15,-
Filip Lehky,https://www.transfermarkt.com/filip-lehky/profil/spieler/580117,Left Winger,22,Czech Republic,,,31,12,2,14,€225k
Pathé Mboup,https://www.transfermarkt.com/pathe-mboup/profil/spieler/979551,Left Winger,20,Senegal,,,34,11,3,14,€2.50m
Axel Kayombo,https://www.transfermarkt.com/axel-kayombo/profil/spieler/922788,Left Winger,18,"DR Congo, France",,,30,10,4,14,€2.00m
Issiaka Karamoko,https://www.transfermarkt.com/issiaka-karamoko/profil/spieler/773807,Left Winger,22,"France, Cote d'Ivoire",,,34,10,4,14,€600k
Pavel Hasek,https://www.transfermarkt.com/pavel-hasek/profil/spieler/987229,Left Winger,19,Czech Republic,,,28,10,4,14,€175k
Kenan Yıldız,https://www.transfermarkt.com/kenan-yildiz/profil/spieler/845654,Left Winger,19,"Türkiye, Germany",,,38,8,6,14,€50.00m
Genrich Sillé,https://www.transfermarkt.com/genrich-sille/profil/spieler/1009223,Left Winger,22,"Netherlands, Honduras",,,35,8,6,14,-
Jérémy Doku,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049,Left Winger,22,"Belgium, Ghana",,,34,6,8,14,€50.00m
Georgiy Uridia,https://www.transfermarkt.com/georgiy-uridia/profil/spieler/686489,Left Winger,22,Russia,,,36,6,8,14,€275k
Anis Mehmeti,https://www.transfermarkt.com/anis-mehmeti/profil/spieler/530813,Left Winger,23,"Albania, England",,,44,12,1,13,€7.00m
Assane Diao,https://www.transfermarkt.com/assane-diao/profil/spieler/1061282,Left Winger,18,"Senegal, Spain",,,26,10,3,13,€30.00m
